"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2026","25,738.61","25,491.64","25,833.12","25,478.50","400.31M","0.73%"
"01/30/2026","25,552.39","25,740.19","25,823.29","25,456.18","490.06M","-1.28%"
"01/29/2026","25,884.30","26,030.08","26,046.34","25,418.54","491.00M","-0.53%"
"01/28/2026","26,022.79","26,121.74","26,165.08","25,974.66","364.70M","0.32%"
"01/27/2026","25,939.74","25,852.04","25,982.59","25,791.75","338.93M","0.88%"
"01/26/2026","25,713.21","25,631.01","25,797.10","25,578.77","359.72M","0.42%"
"01/23/2026","25,605.47","25,501.91","25,709.74","25,435.02","379.94M","0.34%"
"01/22/2026","25,518.35","25,548.38","25,576.52","25,399.49","368.51M","0.76%"
"01/21/2026","25,326.58","25,048.55","25,498.81","24,993.98","477.84M","1.36%"
"01/20/2026","24,987.57","25,155.03","25,279.78","24,954.18","492.29M","-2.12%"
"01/16/2026","25,529.26","25,710.60","25,735.48","25,444.28","518.35M","-0.07%"
"01/15/2026","25,547.07","25,767.30","25,781.03","25,520.20","360.83M","0.32%"
"01/14/2026","25,465.94","25,575.57","25,624.19","25,266.20","376.60M","-1.07%"
"01/13/2026","25,741.95","25,779.28","25,873.18","25,642.11","355.92M","-0.18%"
"01/12/2026","25,787.66","25,616.81","25,850.86","25,602.56","337.20M","0.08%"
"01/09/2026","25,766.26","25,518.82","25,811.45","25,455.97","328.17M","1.02%"
"01/08/2026","25,507.10","25,615.35","25,622.31","25,400.16","320.76M","-0.57%"
"01/07/2026","25,653.90","25,617.80","25,813.17","25,592.40","340.60M","0.06%"
"01/06/2026","25,639.71","25,462.06","25,655.12","25,428.08","373.11M","0.94%"
"01/05/2026","25,401.32","25,471.79","25,520.52","25,354.66","372.07M","0.77%"
"01/02/2026","25,206.17","25,524.27","25,597.65","25,086.36","342.08M","-0.17%"
"12/31/2025","25,249.85","25,464.71","25,483.77","25,244.86","225.28M","-0.84%"
"12/30/2025","25,462.56","25,509.88","25,577.58","25,456.93","206.34M","-0.25%"
"12/29/2025","25,525.56","25,462.25","25,598.14","25,440.97","225.83M","-0.46%"
"12/26/2025","25,644.39","25,692.68","25,716.71","25,620.32","184.86M","-0.05%"
